分类,图片名称,建议路径,用途,所在页面/组件,优先级,状态,尺寸建议,备注
分类Icon,category-vitamin.svg,/icons/category-vitamin.svg,维生素钙分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-pain.svg,/icons/category-pain.svg,止痛消炎分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-five-sense.svg,/icons/category-five-sense.svg,五官用药分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-child.svg,/icons/category-child.svg,儿童用药分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-chronic.svg,/icons/category-chronic.svg,慢病用药分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-device.svg,/icons/category-device.svg,医疗器械分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-tcm.svg,/icons/category-tcm.svg,中药饮片分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-men.svg,/icons/category-men.svg,男科用药分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-women.svg,/icons/category-women.svg,妇科用药分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-contraceptive.svg,/icons/category-contraceptive.svg,避孕测孕分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-allergy.svg,/icons/category-allergy.svg,过敏用药分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-liver.svg,/icons/category-liver.svg,肝胆用药分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-heart.svg,/icons/category-heart.svg,心脑血管分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-tonic.svg,/icons/category-tonic.svg,滋补养生分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-oral.svg,/icons/category-oral.svg,口腔护理分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-eye.svg,/icons/category-eye.svg,眼科用药分类图标,ServiceGridSection,中,待制作,64x64px,
慢病Icon,chronic-hypertension.svg,/icons/chronic-hypertension.svg,高血压图标,ChronicTabSection,中,待制作,64x64px,
慢病Icon,chronic-diabetes.svg,/icons/chronic-diabetes.svg,糖尿病图标,ChronicTabSection,中,待制作,64x64px,
慢病Icon,chronic-heart.svg,/icons/chronic-heart.svg,心脏病图标,ChronicTabSection,中,待制作,64x64px,
慢病Icon,chronic-lipid.svg,/icons/chronic-lipid.svg,高血脂图标,ChronicTabSection,中,待制作,64x64px,
慢病Icon,chronic-asthma.svg,/icons/chronic-asthma.svg,哮喘/呼吸图标,ChronicTabSection,中,待制作,64x64px,
慢病Icon,chronic-gout.svg,/icons/chronic-gout.svg,痛风图标,ChronicTabSection,中,待制作,64x64px,
慢病Icon,chronic-liver.svg,/icons/chronic-liver.svg,肝病图标,ChronicTabSection,中,待制作,64x64px,
慢病Icon,chronic-kidney.svg,/icons/chronic-kidney.svg,肾病图标,ChronicTabSection,中,待制作,64x64px,
慢病Icon,chronic-thyroid.svg,/icons/chronic-thyroid.svg,甲状腺图标,ChronicTabSection,中,待制作,64x64px,
慢病Icon,chronic-bone.svg,/icons/chronic-bone.svg,骨质疏松图标,ChronicTabSection,中,待制作,64x64px,
滋补Icon,tonic-ejiao.svg,/icons/tonic-ejiao.svg,东阿阿胶图标,TonicTabSection,中,待制作,64x64px,
滋补Icon,tonic-protein.svg,/icons/tonic-protein.svg,蛋白粉图标,TonicTabSection,中,待制作,64x64px,
滋补Icon,tonic-probiotic.svg,/icons/tonic-probiotic.svg,益生菌图标,TonicTabSection,中,待制作,64x64px,
滋补Icon,tonic-calcium.svg,/icons/tonic-calcium.svg,钙铁锌图标,TonicTabSection,中,待制作,64x64px,
滋补Icon,tonic-vitamin.svg,/icons/tonic-vitamin.svg,维生素图标,TonicTabSection,中,待制作,64x64px,
滋补Icon,tonic-fishoil.svg,/icons/tonic-fishoil.svg,鱼油/DHA图标,TonicTabSection,中,待制作,64x64px,
滋补Icon,tonic-melatonin.svg,/icons/tonic-melatonin.svg,褪黑素图标,TonicTabSection,中,待制作,64x64px,
滋补Icon,tonic-wolfberry.svg,/icons/tonic-wolfberry.svg,枸杞/黄芪图标,TonicTabSection,中,待制作,64x64px,
滋补Icon,tonic-birdnest.svg,/icons/tonic-birdnest.svg,燕窝图标,TonicTabSection,中,待制作,64x64px,
滋补Icon,tonic-honey.svg,/icons/tonic-honey.svg,蜂蜜/蜂胶图标,TonicTabSection,中,待制作,64x64px,
外部资源,京东商品图,https://img30.360buyimg.com,药品展示图,药品列表/详情,高,外部链接,400x400px,Mock数据使用
外部资源,Icons8图标集,https://img.icons8.com,功能图标,Mock数据,中,外部链接,96x96px,分类/功能图标
外部资源,医生默认头像,https://images.unsplash.com,医生头像,DoctorCard,中,外部链接,200x200px,默认头像
外部资源,阿里云图标,https://img.alicdn.com,分类图标,ServiceGridSection,中,外部链接,83x82px,20个分类使用
